player_name,position,season,scouting_blurb,Rnd,Pick,Tm,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,-9999,player_id
Treylon Burks,WR,2022,"A wide receiver from , drafted in Round 1.0, Pick 18, known for receiving potential.",1.0,18.0,TEN,22.0,2024.0,0.0,0.0,1.0,6.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,11.0,66.0,0.0,53.0,699.0,1.0,,,,Arkansas,College Stats,BurkTr00,burtre001
Kenny Pickett,QB,2022,"A quarterback from , selected in Round 1.0, Pick 20, with notable passing experience.",1.0,20.0,PIT,24.0,2024.0,0.0,0.0,2.0,14.0,13.0,30.0,471.0,755.0,4765.0,15.0,14.0,106.0,306.0,5.0,0.0,0.0,0.0,2.0,,,Pittsburgh,College Stats,PickKe00,picken001
Christian Watson,WR,2022,"A wide receiver from , drafted in Round 2.0, Pick 34, known for receiving potential.",2.0,34.0,GNB,23.0,2024.0,0.0,0.0,3.0,16.0,16.0,38.0,0.0,0.0,0.0,0.0,0.0,15.0,114.0,2.0,98.0,1653.0,14.0,,,,North Dakota St.,,WatsCh00,watchr001
Breece Hall,RB,2022,"A running back from , taken in Round 2.0, Pick 36, with strong rushing upside.",2.0,36.0,NYJ,21.0,2024.0,0.0,0.0,2.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,512.0,2333.0,14.0,152.0,1292.0,8.0,1.0,,,Iowa St.,College Stats,HallBr03,halbre001
Kenneth Walker Iii,RB,2022,"A running back from , taken in Round 2.0, Pick 41, with strong rushing upside.",2.0,41.0,SEA,21.0,2024.0,0.0,0.0,3.0,20.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,600.0,2528.0,24.0,102.0,723.0,2.0,1.0,,,Michigan St.,College Stats,WalkKe00,iiiken002
Wan'Dale Robinson,WR,2022,"A wide receiver from , drafted in Round 2.0, Pick 43, known for receiving potential.",2.0,43.0,NYG,21.0,2024.0,0.0,0.0,0.0,11.0,11.0,38.0,0.0,0.0,0.0,0.0,0.0,14.0,104.0,1.0,176.0,1451.0,5.0,,,,Kentucky,College Stats,RobiWa01,robwan001
John Metchie,WR,2022,"A wide receiver from , drafted in Round 2.0, Pick 44, known for receiving potential.",2.0,44.0,HOU,22.0,2024.0,0.0,0.0,0.0,3.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,40.0,412.0,1.0,1.0,,,Alabama,College Stats,MetcJo00,metjoh001
Tyquan Thornton,WR,2022,"A wide receiver from , drafted in Round 2.0, Pick 50, known for receiving potential.",2.0,50.0,NWE,21.0,2024.0,0.0,0.0,1.0,3.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,6.0,67.0,1.0,39.0,385.0,2.0,2.0,,,Baylor,College Stats,ThorTy00,thotyq001
George Pickens,WR,2022,"A wide receiver from , drafted in Round 2.0, Pick 52, known for receiving potential.",2.0,52.0,PIT,21.0,2024.0,0.0,0.0,3.0,24.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,1.0,174.0,2841.0,12.0,1.0,,,Georgia,College Stats,PickGe00,picgeo001
Alec Pierce,WR,2022,"A wide receiver from , drafted in Round 2.0, Pick 53, known for receiving potential.",2.0,53.0,IND,22.0,2024.0,0.0,0.0,3.0,15.0,15.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1931.0,11.0,,,,Cincinnati,College Stats,PierAl00,pieale001
